Plant State,"Elec Fuel Consumption
MMBtu"
AK,"31,026"
AK,"2,412"
AL,"596,772"
AL,"805,220"
AL,"56,641,702"
AL,"33,612,334"
AL,"4,423,555"
AL,0
AL,"1,739,195"
AL,"15,995"
TX,0
TX,"918,953"
AL,"207,731"
AL,"1,017,338"
AL,"12,539,353"
AL,"814,971"
AL,"597,310"
AL,"1,505,628"
AL,"1,408,877"
AL,"2,051,736"
AL,"1,223,584"
AL,"1,857,735"
AL,"1,112,187"
AL,"802,998"
AL,"804,767"
AL,"484,612"
AL,"5,460"
AL,"19,089,559"
AL,"25,592,371"
MN,712
MN,0
CA,"182,743"
AL,"1,075,147"
AL,"98,166,591"
AL,"93,484,384"
AL,"114,730,268"
AL,0
AL,"493,276"
AL,"1,913,192"
AL,"4,687,057"
LA,0
LA,0
LA,0
AL,"15,545"
KY,"160,138"
KY,"9,025,616"
AL,"56,925"
NE,"9,839"
NE,"4,939,856"
NE,"24,718"
NE,0
NE,"19,602,997"
AK,"83,646"
AK,"23,983"
AK,74
AK,"3,921"
AK,"1,364"
AK,"102,467"
AK,"8,448"
AK,"13,024"
AK,"14,680"
AK,"258,606"
AK,"461,121"
CA,0
AK,"20,440"
AK,"215,658"
AK,122
AK,"569,579"
AK,"982,067"
AK,0
AK,0
AK,"1,896,866"
AK,0
AK,"68,523"
AK,"9,161"
NY,"36,994"
AK,"263,586"
AK,"6,684"
AK,"46,284"
AK,"8,260"
AK,"2,639"
AK,"249,567"
AK,"5,339"
AK,"130,142"
WA,242
WA,"632,538"
AZ,98
CA,0
KS,"119,381"
KS,"17,743,381"
AK,"183,410"
AZ,0
AZ,"4,697"
AZ,"1,721"
AZ,"25,005,651"
AZ,"1,134"
AZ,"7,477,578"
AZ,0
AZ,"5,045,050"
AZ,0
AZ,"14,637,294"
AZ,"249,648"
AZ,0
AZ,"1,049,755"
AZ,0
AZ,"13,037"
AZ,"2,224,574"
AZ,"1,070,511"
AZ,0
AZ,"13,507"
AZ,0
AZ,"96,741"
AZ,"3,526,172"
AZ,0
AZ,"6,243,293"
AZ,0
SC,"49,824,127"
SC,"276,073"
SC,0
SC,"24,995,344"
FL,0
FL,"3,349,660"
FL,"63,049,455"
FL,"241,945"
FL,0
AZ,0
AZ,0
AZ,"119,044"
AZ,0
AZ,0
AZ,"1,452,395"
AZ,"22,270"
